Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
"<b>Gestorben beim Versuch, andere zu retten</b>",https://ga.de/imgs/93/1/1/9/9/1/7/1/4/7/tok_8a4b23a3ef1d8e8de61926959de0cd52/w1100_h1820_x945_y1563_Katharina_Kraatz_dreispaltig_privat-5be1f852e43077c6.jpg,"Katharina Kraatz trat in der Katastrophe an, um Menschenleben zu retten. Dabei verlor sie ihr eigenes Leben. (privat)",,"Nicht allerdings Katharina Kraatz. Die Feuerwehrfrau aus Adenau ist im Einsatz während der Flut. Sie unterstützt auf einem Campingplatz bei der Evakuierung, möchte einer älteren Dame helfen, die nach einer Operation nicht aufstehen kann. Es ist das letzte Mal, dass Katharina Kraatz gesehen wird. Ihr Vater, ebenfalls Feuerwehrmann, muss die Tragödie im Einsatz miterleben. <a href=""https://ga.de/region/ahr-und-rhein/bad-neuenahr-ahrweiler/flutkatastrophe-im-ahrtal-feuerwehrfrau-aus-adenau-gestorben-eltern-erinnern-scih_aid-64569015"" target=""_blank"">Ein halbes Jahr später spricht er mit dem GA darüber.</a>",,,,,50.376599,6.797056,,,,
<b>Im eigenen Haus ertrunken</b>,https://ga.de/imgs/93/1/2/1/5/5/0/6/8/3/tok_dc1d99e5f5450bd47cb3d43fe1fbe6b8/w1100_h825_x800_y600_WhatsApp_Image_2021-07-15_at_08.30.09-5643577c478e0ccc.jpeg,Die Bachstraße in Heimerzheim stand in der Flut vollständig unter Wasser. Nicht alle Anwohner überlebten diese Stunden. (Hans-Peter Fuß),,"Familie Fuß aus Swisttal-Heimerzheim braucht ebenfalls Monate, bis sie über das Schicksal von Hans Fuß sprechen kann. Der Landwirt ertrinkt im eigenen Haus. <a href=""https://ga.de/region/voreifel-und-vorgebirge/swisttal/flutkatastrophe-in-swisttal-hans-fuss-ertrank-in-seinem-haus_aid-65188797"" target=""_blank"">„Er könnte noch leben“, ist sich die Familie einig, „wenn rechtzeitig vor dem Ausmaß des Hochwassers gewarnt worden wäre.“</a>",14,,,,50.717728,6.914188,,,,
<b>Die Straße brach unter ihr weg</b>,https://ga.de/imgs/93/1/7/5/3/1/6/4/0/5/tok_836185bb2b34d4830a841a6bc7427528/w1100_h825_x1796_y1347_IMG_0587-bdd201413ce36306.JPG,Ein Stein erinnert nach der Flut an Vanessa Koxha aus Rheinbach. Sie wollte nur wenige Hundert Meter nach Hause gehen. (Juliane Hornstein),,"In Rheinbach muss Vanessa Koxha nur rund 500 Meter durch die Innenstadt von ihrer Arbeitsstelle nach Hause laufen. Dort kommt sie nie an. Als sie den Gräbbach an einer Kreuzung überqueren will, bricht die Straße unter ihre weg. Ihre Leiche wird später einige Straßen entfernt davon gefunden, fast vor ihrem Zuhause. <a href=""https://ga.de/region/voreifel-und-vorgebirge/rheinbach/flutopfer-aus-rheinbach-das-waren-vanessas-letzte-minuten_aid-95789111"" target=""_blank"">Ihre letzten Minuten hat ihre Mutter später genau rekonstruiert.</a>",16,,,,50.626852,6.954627,,,,
,https://ga.de/imgs/93/1/7/7/6/4/0/4/5/9/tok_e7df3951f91d893948178845838e3b8e/w1100_h825_x1796_y1347_Schoeneich_Christopher_Flut-b2f7301dc96b6ed1.jpg,"An dieser Stelle stürzten zwei Menschen in den Gräbbach, erinnert sich Christopher Schoeneich. (Juliane Hornstein)",,"Dabei erfährt sie auch, dass Vanessa nicht allein unterwegs war. Sie hat einen Begleiter, als sie in den reißenden Bach stürzt. Der kann sich gerade noch kurz festhalten. Christopher Schoeneich kommt zufällig vorbei, er kann den jungen Mann gerade noch retten. „Ich habe schon viel Wasser im Gräbbach gesehen, aber so viel Wasser noch nie“,  <a href=""https://ga.de/region/voreifel-und-vorgebirge/rheinbach/rheinbach-mann-wollte-opfer-der-flutkatastrophe-retten_aid-97215851"" target=""_blank"">beschreibt Schoeneich die Situation später.</a>",16,,,,50.622113,6.950861,,,,
<b>Die Steinbachtalsperre</b>,,,,"Der Damm der Steinbachtalsperre wird überflutet, er droht zu brechen: Mitten in die ohnehin katastrophale Lage kommt in der Flutnacht diese Nachricht. Die Orte entlang des Baches, der im Verlauf später Orbach und Jungbach heißt, sollen evakuiert werden. Realistisch ist das nicht, wo doch Straßen und Wege unter Wasser stehen. Viele verlassen erst am nächsten Tag ihr Haus - und können tagelang nicht zurückkehren.",16,,,,50.5903,6.83583,,,,
,https://www.youtube.com/embed/66UvFzFjosQ?si=jG-6ohL1L7nXeJRV, ,,"Was wirklich passiert, wenn der Damm bricht, ist zu diesem Zeitpunkt unbekannt. Erst ein Jahr später gibt es eine Simulation. Sie zeigt: Nach wenigen Minuten wäre das erste Dorf metertief überflutet.",,,,,,,,,,
<b>Tagelang laufen die Pumpen</b>,https://ga.de/imgs/93/1/3/5/8/0/7/2/0/5/tok_4c1a6bd8a3cc6410dd0707252aecb577/w1100_h825_x1796_y1347_Einsatz_Steinbachtalsperre_Hochwasser_2021_2-1d8a2b99fbf75c11.jpg,Tagelang pumpen die Feuerwehr und THW das Wasser aus der Steinbachtalsperre. (Feuerwehr Euskirchen),,"Um den Damm zu entlasten, muss das Wasser aus der Talsperre schnellstmöglich abgelassen werden. Mit großen Pumpen rücken Feuerwehrkräfte von nah und fern an. Einsatzleiter Rolf Stupp blickt später auf diese Tage zurück: „Ich habe gesagt, das ist mein Damm. Ich bin mit dem Damm groß geworden. Ich habe gesehen, wie der geteert worden ist. Mein Damm geht nicht kaputt, das war meine Philosophie.“",,,,,,,,,,
<b>Helden auf und im Damm</b>,https://ga.de/imgs/93/1/1/1/1/8/8/7/0/5/tok_18c0b519bdaa5e145a0b19f58f902e2e/w1280_h853_x334_y187_Baggerfahrer-da13d25469b9113a.jpg,Einer der vielen Helden in der Flut: Baggerfahrer Hubert Schilles. (Stephan Stegmann),,"Eines der Probleme: Geröll hat den Grundablass, quasi den Ablauf, der Talsperre zugesetzt. Damit hier wieder Wasser ablaufen kann, braucht es wahre Heldentaten. <a href=""https://ga.de/region/koeln-und-rheinland/wenn-die-wand-gebrochen-waere-haette-ich-keine-chance-gehabt_aid-61678349""_blank"">Baggerfahrer Hubert Schilles wagt sich mit schwerem Gerät auf den Damm, der jeden Moment brechen könnte.</a>",14,,,,50.593201,6.839313,,,,
,https://ga.de/imgs/93/1/7/6/1/7/1/2/3/1/Steinbach_Tunnel_07-a8541e1b20222ba0.JPG,"Am Grundablass der Steinbachtalsperre: Als Carsten Bönsch im Juli 2021 hier hinabstieg, stand das Wasser brusthoch im stockdunkeln Gang. (Juliane Hornstein)",,"Und tief unten im Kontrollgang des Dammes muss der Ablass zusätzlich von Hand geöffnet werden. Talsperrenwart Casten Bönsch wagt sich hinein in den schmalen Tunnel, der teils brusthoch unter Wasser steht.",,,,,,,,,,
,https://www.youtube.com/embed/N0y2siuKGPU?si=7fc-NkAdItbBjtjj,,,"So sieht es nach der Flut an der Talsperre aus. Der See ist verschwunden. Eine Scharte im Damm soll verhindern, dass sich hier das Wasser wieder bis zur Deichkrone aufstauen kann. Die Sanierung ist geplant. Aber es dauert.",,,,,,,,,,
